tt0251736 {'critics_score': 17, 'audience_score': 67} 
tt0289992 {'critics_score': 19, 'audience_score': 80} 
tt0351265 {'critics_score': -1, 'audience_score': 67} 
tt0270707 {'critics_score': 33, 'audience_score': 28} 
tt0289765 {'critics_score': 68, 'audience_score': 74} 
tt0343644 {'critics_score': -1, 'audience_score': 70} 
tt0280969 {'critics_score': 56, 'audience_score': 38} 
tt0280720 {'critics_score': 57, 'audience_score': 38} 
tt0300532 {'critics_score': 36, 'audience_score': 55} 
tt0309986 {'critics_score': -1, 'audience_score': 82} 
tt0258463 {'critics_score': 83, 'audience_score': 91} 
tt0279493 {'critics_score': 77, 'audience_score': 59} 
tt0328007 {'critics_score': 0, 'audience_score': 40} 
tt0276751 {'critics_score': 93, 'audience_score': 51} 
tt0277296 {'critics_score': 40, 'audience_score': 53} 
tt0243736 {'critics_score': 38, 'audience_score': 53} 
tt0259288 {'critics_score': 7, 'audience_score': 63} 
tt0265298 {'critics_score': 43, 'audience_score': 52} 
tt0160184 {'critics_score': 15, 'audience_score': 32} 
tt0262396 {'critics_score': 21, 'audience_score': 59} 
tt0268978 {'critics_score': 77, 'audience_score': 91} 
tt0294345 {'critics_score': 0, 'audience_score': 34} 
tt0266987 {'critics_score': 66, 'audience_score': 70} 
tt0252866 {'critics_score': 52, 'audience_score': 75} 
tt0163025 {'critics_score': 49, 'audience_score': 47} 
tt0232500 {'critics_score': 52, 'audience_score': 81} 
tt0209163 {'critics_score': 47, 'audience_score': 69} 
tt0238112 {'critics_score': 29, 'audience_score': 49} 
tt0236348 {'critics_score': 53, 'audience_score': 44} 
tt0243155 {'critics_score': 81, 'audience_score': 77} 
tt0212985 {'critics_score': 39, 'audience_score': 69} 
tt0192111 {'critics_score': 10, 'audience_score': 58} 
tt0182000 {'critics_score': 45, 'audience_score': 52} 
tt0218967 {'critics_score': 53, 'audience_score': 66} 
tt0170016 {'critics_score': 53, 'audience_score': 57} 
tt0212338 {'critics_score': 84, 'audience_score': 79} 
tt0204626 {'critics_score': 10, 'audience_score': 35} 
tt0206917 {'critics_score': 35, 'audience_score': 59} 
tt0144528 {'critics_score': 26, 'audience_score': 53} 
tt0190590 {'critics_score': 77, 'audience_score': 87} 
tt0156323 {'critics_score': 13, 'audience_score': 47} 
tt0172495 {'critics_score': 77, 'audience_score': 85} 
tt0141926 {'critics_score': 68, 'audience_score': 60} 
tt0158622 {'critics_score': 25, 'audience_score': 28} 
tt0192614 {'critics_score': 9, 'audience_score': 48} 
tt0141399 {'critics_score': 25, 'audience_score': 41} 
tt0229694 {'critics_score': -1, 'audience_score': 75} 
tt0144084 {'critics_score': 67, 'audience_score': 83} 
tt0125664 {'critics_score': 63, 'audience_score': 74} 
tt0174856 {'critics_score': 83, 'audience_score': 84} 
tt0126916 {'critics_score': 54, 'audience_score': 73} 
tt0120834 {'critics_score': 40, 'audience_score': 66} 
tt0134154 {'critics_score': 63, 'audience_score': 61} 
tt0145681 {'critics_score': 28, 'audience_score': 68} 
tt0160236 {'critics_score': 14, 'audience_score': 25} 
tt0131325 {'critics_score': 80, 'audience_score': 51} 
tt0132347 {'critics_score': 60, 'audience_score': 52} 
tt0163651 {'critics_score': 61, 'audience_score': 63} 
tt0120616 {'critics_score': 55, 'audience_score': 75} 
tt0123964 {'critics_score': 50, 'audience_score': 73} 
tt0131369 {'critics_score': 64, 'audience_score': 31} 
tt0132477 {'critics_score': 90, 'audience_score': 84} 
tt0120458 {'critics_score': 9, 'audience_score': 25} 
tt0155975 {'critics_score': 37, 'audience_score': 35} 
tt0138097 {'critics_score': 93, 'audience_score': 76} 
tt0119643 {'critics_score': 51, 'audience_score': 80} 
tt0144120 {'critics_score': 42, 'audience_score': 52} 
tt0120776 {'critics_score': 89, 'audience_score': 65} 
tt0122718 {'critics_score': 45, 'audience_score': 46} 
tt0120780 {'critics_score': 93, 'audience_score': 66} 
tt0120669 {'critics_score': 50, 'audience_score': 90} 
tt0120610 {'critics_score': 11, 'audience_score': 61} 
tt0120749 {'critics_score': 17, 'audience_score': 47} 
tt0119942 {'critics_score': 80, 'audience_score': 56} 
tt0118747 {'critics_score': 45, 'audience_score': 41} 
tt0120693 {'critics_score': 29, 'audience_score': 82} 
tt0118760 {'critics_score': 77, 'audience_score': 71} 
tt0119142 {'critics_score': 15, 'audience_score': 47} 
tt0119395 {'critics_score': 15, 'audience_score': 55} 
tt0119484 {'critics_score': 26, 'audience_score': 34} 
tt0119509 {'critics_score': 21, 'audience_score': 34} 
tt0120133 {'critics_score': 27, 'audience_score': 39} 
tt0119567 {'critics_score': 52, 'audience_score': 55} 
tt0115927 {'critics_score': 19, 'audience_score': 32} 
tt0120318 {'critics_score': 43, 'audience_score': 57} 
tt0119528 {'critics_score': 81, 'audience_score': 72} 
tt0118928 {'critics_score': 27, 'audience_score': 45} 
tt0119115 {'critics_score': 53, 'audience_score': 54} 
tt0120004 {'critics_score': 32, 'audience_score': 36} 
tt0116040 {'critics_score': 21, 'audience_score': 41} 
tt0115862 {'critics_score': 12, 'audience_score': 43} 
tt0117561 {'critics_score': 59, 'audience_score': 78} 
tt0116442 {'critics_score': 76, 'audience_score': 72} 
tt0115783 {'critics_score': 8, 'audience_score': 54} 
tt0117965 {'critics_score': 75, 'audience_score': 37} 
tt0116365 {'critics_score': 64, 'audience_score': 69} 
tt0116136 {'critics_score': 50, 'audience_score': 63} 
tt0116322 {'critics_score': 32, 'audience_score': 44} 
tt0117998 {'critics_score': 58, 'audience_score': 62} 
tt0117128 {'critics_score': 74, 'audience_score': 85} 
tt0116287 {'critics_score': 39, 'audience_score': 64} 
tt0117608 {'critics_score': 32, 'audience_score': 46} 
tt0116165 {'critics_score': 0, 'audience_score': 25} 
tt0116483 {'critics_score': 59, 'audience_score': 83} 
tt0114746 {'critics_score': -1, 'audience_score': 67} 
tt0112453 {'critics_score': 50, 'audience_score': 66} 
tt0112641 {'critics_score': 80, 'audience_score': 91} 
tt0112346 {'critics_score': 90, 'audience_score': 71} 
tt0113188 {'critics_score': 50, 'audience_score': 46} 
tt0114576 {'critics_score': 52, 'audience_score': 39} 
tt0113347 {'critics_score': 55, 'audience_score': 57} 
tt0112688 {'critics_score': 68, 'audience_score': 73} 
tt0114682 {'critics_score': 42, 'audience_score': 69} 
tt0112431 {'critics_score': 98, 'audience_score': 54} 
tt0114898 {'critics_score': 43, 'audience_score': 46} 
tt0112384 {'critics_score': 97, 'audience_score': 78} 
tt0112642 {'critics_score': 44, 'audience_score': 54} 
